Latitude,Longitude,Unique_Squirrel_ID,Shift,Date,Age,Primary_Fur_Color,Location,Specific_Location,Running,Chasing,Climbing,Eating,Foraging,Other_Activities,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from
-73,40,41A-PM-1007-06,PM,10072018,Adult,Black,Ground Plane,nan,True,False,True,True,False,nan,False,False,False,False,False,False,False,True
-73,40,2F-AM-1006-05,AM,10062018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,False,False
-73,40,20B-AM-1007-01,AM,10072018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,quietly,False,False,False,False,False,False,True,False
-73,40,26A-PM-1006-06,PM,10062018,Adult,Gray,Ground Plane,Tree 90th left 90th & 89,False,False,True,False,False,nan,False,False,False,True,False,False,False,False
-73,40,35E-PM-1006-07,PM,10062018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,True
-73,40,11G-PM-1013-01,PM,10132018,Adult,Gray,Above Ground,In the Woods/Brush,False,False,True,False,True,nan,False,False,False,False,False,False,False,True
-73,40,36I-PM-1007-13,PM,10072018,Adult,Gray,Ground Plane,nan,False,False,False,True,False,nan,False,False,False,False,True,True,False,False
-73,40,7A-AM-1006-01,AM,10062018,Adult,Gray,Above Ground,in tree,False,False,False,False,True,nan,False,True,False,False,True,False,False,False
-73,40,7G-PM-1018-03,PM,10182018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,False,False
-73,40,14E-AM-1008-05,AM,10082018,Adult,Gray,Above Ground,nan,False,False,True,False,False,nest building,False,False,False,False,False,False,True,False
-73,40,3D-PM-1010-03,PM,10102018,Adult,Cinnamon,Ground Plane,nan,False,False,False,False,False,nan,False,False,False,False,False,False,False,False
-73,40,35D-PM-1013-09,PM,10132018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
-73,40,7F-PM-1012-01,PM,10122018,Adult,Gray,Ground Plane,nan,True,False,False,False,False,nan,False,False,False,False,False,False,True,False
-73,40,18G-PM-1013-01,PM,10132018,Adult,Gray,Ground Plane,nan,False,False,False,True,True,burying,False,False,False,False,False,False,False,True
-73,40,6F-PM-1008-01,PM,10082018,Adult,Gray,Above Ground,nan,False,True,False,False,False,nan,False,False,False,False,False,False,False,False
-73,40,9F-AM-1013-04,AM,10132018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,False,False
-73,40,38E-AM-1010-09,AM,10102018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
-73,40,33G-AM-1013-02,AM,10132018,Adult,Gray,Above Ground,shelter in hole in tree,False,False,True,False,False,nan,False,False,False,False,False,False,True,True
